,Player,Team,Number,Position,Height,Weight,Last Attended,Country
35,Keita Bates-Diop,NYK,13,F,6-8,229 lbs,Ohio State,USA
36,Jamison Battle,TOR,,F,6-7,220 lbs,Ohio State,USA
37,Nicolas Batum,LAC,33,G-F,6-8,230 lbs,Le Mans,France
38,Bradley Beal,PHX,3,G,6-4,207 lbs,Florida,USA
39,Malik Beasley,DET,5,G,6-4,187 lbs,Florida State,USA
40,MarJon Beauchamp,MIL,3,F,6-7,199 lbs,NBA G League Ignite,USA
41,Reece Beekman,GSW,3,G,6-3,190 lbs,Virginia,USA
42,Jules Bernard,WAS,14,G,6-6,210 lbs,UCLA,USA
43,Patrick Beverley,MIL,21,G,6-2,180 lbs,Arkansas,USA
44,Saddiq Bey,WAS,41,G-F,6-7,215 lbs,Villanova,USA
45,Goga Bitadze,ORL,35,C-F,6-10,250 lbs,Mega Basket,Georgia
46,Onuralp Bitim,CHI,17,F,6-6,215 lbs,Bursaspor,Turkey
47,Anthony Black,ORL,0,G,6-7,200 lbs,Arkansas,USA
48,Bogdan Bogdanovic,ATL,13,G,6-5,225 lbs,Fenerbahce,Serbia
49,Bojan Bogdanovic,BKN,44,F,6-7,226 lbs,Fenerbahce,Croatia
50,Bol Bol,PHX,11,C-F,7-3,220 lbs,Oregon,Sudan
51,Adem Bona,PHI,,F,6-10,235 lbs,UCLA,Nigeria
52,Devin Booker,PHX,1,G,6-6,206 lbs,Kentucky,USA
53,Brandon Boston Jr.,SAS,4,G,6-6,188 lbs,Kentucky,USA
54,Chris Boucher,TOR,25,F,6-9,200 lbs,Oregon,Saint Lucia
55,Jamaree Bouyea,SAS,21,G,6-2,180 lbs,San Francisco,USA
56,Malaki Branham,SAS,22,F,6-4,180 lbs,Ohio State,USA
57,Christian Braun,DEN,0,G,6-6,220 lbs,Kansas,USA
58,Jalen Bridges,PHX,,F,6-8,225 lbs,Baylor,USA
59,Mikal Bridges,NYK,25,G-F,6-6,209 lbs,Villanova,USA
60,Miles Bridges,CHA,0,F,6-7,225 lbs,Michigan State,USA
61,Oshae Brissett,BOS,12,F-G,6-7,210 lbs,Syracuse,Canada
62,Malcolm Brogdon,WAS,11,G,6-4,229 lbs,Virginia,USA
63,Dillon Brooks,HOU,9,G-F,6-6,225 lbs,Oregon,Canada
64,Bruce Brown,TOR,11,G-F,6-4,202 lbs,Miami,USA
65,Jaylen Brown,BOS,7,G-F,6-6,223 lbs,California,USA
66,Kendall Brown,IND,10,G,6-7,205 lbs,Baylor,USA
67,Kobe Brown,LAC,21,F,6-7,250 lbs,Missouri,USA
68,Moses Brown,POR,10,C,7-2,258 lbs,UCLA,USA
69,Greg Brown III,DAL,36,F,6-7,206 lbs,Texas,USA
70,Charlie Brown Jr.,NYK,4,G,6-6,199 lbs,St. Joseph's (PA),USA
71,Jalen Brunson,NYK,11,G,6-2,190 lbs,Villanova,USA
72,Thomas Bryant,MIA,31,C-F,6-10,248 lbs,Indiana,USA
73,Kobe Bufkin,ATL,4,G,6-5,195 lbs,Michigan,USA
74,Reggie Bullock Jr.,HOU,25,G-F,6-6,205 lbs,North Carolina,USA
75,Alec Burks,MIA,18,G,6-5,214 lbs,Colorado,USA
76,Jared Butler,WAS,4,G,6-3,193 lbs,Baylor,USA
77,Jimmy Butler,MIA,22,F,6-7,230 lbs,Marquette,USA
